;m_seg;sig;eps;m_seg_ML;sig_ML;eps_ML;AARD_rho_pred;RMSE_rho_pred
0;2.354001;3.955;225.68999;2.256894;3.813993;230.90869;16.874957;91.904724
1;2.903001;3.154;336.84;2.905427;3.287079;307.7366;16.516656;160.77118
2;5.68;3.45;284.56;5.423888;3.416255;280.18756;5.852362;62.866308
3;2.454;3.815;231.15;2.499168;3.779229;220.26274;1.526555;13.463514
4;3.43;3.469;249.83;3.314181;3.56388;250.32477;4.946931;38.387002
5;3.108999;3.823;316.99;3.263742;3.762055;328.47733;3.471461;30.669818
6;2.730001;3.768;246.26999;2.549705;3.768976;267.1028;11.279115;150.268017
7;2.829001;3.25;250.26;2.803512;3.290119;242.25526;5.378294;38.030029
8;2.795;3.502;298.03;2.912041;3.450107;287.35394;0.452242;3.848637
9;4.530999;3.522;235.95999;4.475314;3.581439;246.14597;2.070162;17.651966
10;3.837;3.403;232.78;3.725851;3.423854;237.97266;2.141818;16.32407
11;5.364;3.588;257.45;5.962636;3.377767;248.30754;7.154317;59.648304
12;1.593;3.445;176.47002;1.505134;3.545209;211.69598;5.83986;35.432755
13;6.033;4.008;272.23;5.404649;4.128801;287.0856;4.041207;25.913259
14;3.467;3.467;231.44998;3.377743;3.280874;236.1017;22.310971;157.330681
15;4.014999;3.651;277.75003;4.240953;3.571861;269.39322;0.81042;7.555302
16;7.324001;3.845;254.1;7.49816;3.829071;257.32123;0.264336;2.478249
17;3.766001;3.873;283.07;3.610163;3.799753;278.48407;8.159982;67.124542
18;7.327;3.967;256.2;7.522311;3.941876;256.43427;0.652483;5.157193
19;1.606999;3.521;191.42;1.728925;3.504633;217.81897;4.091891;26.911465
20;5.96;3.56;236.43;6.096943;3.603321;239.17122;4.4401;36.13258
21;2.648999;3.753;315.04;2.853383;3.710949;318.02826;2.59927;28.181741
22;3.141;4.086;249.77;3.202919;4.077794;256.56412;1.076619;8.571781
23;3.448001;3.96;243.00002;3.498478;3.918327;244.49332;2.484477;15.281399
24;3.463;3.93;249.01999;3.594986;3.893782;248.81606;0.733299;6.043984
25;3.765;3.733;247.34;3.651353;3.77558;251.3058;0.43413;3.336
26;1.781999;4.053;241.95;2.045531;3.806143;223.9946;4.39411;29.224175
27;2.482001;3.61;275.45;2.535218;3.632186;271.97244;4.209769;31.904558
28;2.908;3.66;266.25;2.853797;3.571086;258.1725;7.211157;62.407917
29;3.313;3.875;325.07;3.29186;3.806908;328.06766;6.739738;55.1176
30;2.860001;3.737;261.66;2.822642;3.765577;264.1211;0.718728;5.188413
31;2.464999;3.648;287.35;2.526621;3.713788;277.70016;9.575076;70.46475
32;3.678;3.542;256.13;3.775033;3.545217;253.01381;2.998579;22.043863
33;7.985;3.987;257.75;8.270086;3.940337;256.97913;0.455283;3.293107
34;3.742;3.813;243.01999;3.654161;3.863566;247.3187;1.009007;7.195652
35;2.815;3.717;285.68997;2.895645;3.810719;298.68585;6.91633;60.099613
36;3.549001;3.777;267.42;3.457349;3.653209;256.85486;9.897018;84.46014
37;2.685;3.955;246.07;2.816969;3.836386;235.42722;3.066637;22.003773
38;6.978;3.61;268.8;6.981256;3.544707;267.00565;4.956565;46.473824
39;2.943999;3.769;279.23;2.760764;3.792833;293.59656;6.833121;47.590141
40;6.489999;3.751;248.77002;6.361297;3.782703;254.21329;0.1357;1.618376
41;2.601;4.004;243.51;2.816045;3.965812;252.13503;2.849335;19.991017
42;3.785999;3.423;235.76001;3.842528;3.372446;231.4174;1.934972;16.422819
43;2.262999;3.338;274.20004;2.185735;3.450447;265.23874;9.452593;115.623644
44;4.988;3.947;255.14;5.064377;3.986593;256.05215;3.61894;24.157385
45;6.886001;3.762;248.27998;6.392303;3.837329;257.3326;2.437021;17.728675
46;7.347;3.682;248.02;7.485957;3.614593;251.51593;5.353045;30.943475
47;5.306;3.896;249.20999;5.072714;3.923617;253.9539;3.060144;18.430859
48;4.208;3.845;244.50998;4.201322;3.838384;246.81805;1.437801;8.800245
49;3.137999;3.407;289.01004;3.256113;3.353704;282.41708;0.785288;8.247074
50;3.743001;4.072;259.04;3.770451;3.908186;244.97026;8.5819;67.375113
51;2.198999;3.498;273.24997;2.238684;3.436293;261.52;2.182571;20.476438
52;3.075;3.393;252.27002;3.050013;3.444645;248.55666;4.878315;34.629064
53;9.874;3.901;264.12;9.962882;3.711512;254.46106;13.296661;106.382825
54;3.095001;4.067;260.59;3.202997;4.025023;252.66518;1.744492;11.087341
55;3.364;3.488;252.69998;3.376502;3.466887;248.06471;0.806937;7.44322
56;8.960001;3.951;254.31;8.993413;3.936016;257.46512;1.874675;11.223924
57;3.148;3.934;268.45;3.057317;3.848327;268.40176;9.14394;71.360767
58;3.531999;3.414;242.56;3.388416;3.530166;250.2561;4.422332;34.354177
59;3.333999;3.515;254.64;3.806634;3.481116;242.83978;9.975475;86.917887
