;MAE_AARD_test;MAE_RMSE_test;MAE_AARD_test_limit;MAE_RMSE_test_limit;MAE_AARD_train;MAE_RMSE_train;MAE_AARD_train_limit;MAE_RMSE_train_limit;loss_min;epoch_min;lr;wd
8;0.6866;0.0369;0.7423;0.0144;0.9847;0.0313;0.3082;0.0093;0.0167;455;0.00098;0
6;0.7;0.0375;0.7026;0.0155;0.9027;0.0313;0.3487;0.0128;0.0169;480;0.00097;0
19;0.6845;0.038;0.7709;0.0138;0.9285;0.0309;0.3497;0.0082;0.017;474;0.00099;0
46;0.9574;0.0433;0.8413;0.0141;1.1795;0.0344;0.5932;0.0098;0.017;490;0.0006;0
12;0.8378;0.0492;0.884;0.0149;1.0039;0.0372;0.438;0.0089;0.0172;492;0.00076;0
37;0.7553;0.0375;0.6805;0.0131;0.9833;0.0284;0.2931;0.0081;0.0172;406;0.00059;0
42;0.7442;0.042;0.7442;0.0139;0.9022;0.0309;0.3933;0.0093;0.0172;439;0.00085;0
40;0.7984;0.0414;0.8429;0.0133;0.9544;0.0302;0.5348;0.0081;0.0172;448;0.00044;0
9;0.7785;0.0441;0.7783;0.0141;0.9014;0.0307;0.3257;0.0082;0.0172;474;0.00035;0
17;0.8352;0.0425;0.8409;0.0139;1.0088;0.0358;0.5233;0.0102;0.0173;327;0.001;0
41;0.7669;0.0421;0.7561;0.0184;0.9706;0.033;0.3254;0.0118;0.0173;490;0.00084;0
45;0.7669;0.0421;0.7561;0.0184;0.9706;0.033;0.3254;0.0118;0.0173;490;0.00084;0
47;0.7669;0.0421;0.7561;0.0184;0.9706;0.033;0.3254;0.0118;0.0173;490;0.00084;0
28;0.7406;0.0422;0.7272;0.0137;0.8628;0.0317;0.3143;0.0087;0.0174;445;0.00039;0
11;0.9103;0.0405;0.8306;0.0124;1.155;0.0312;0.5143;0.0097;0.0174;430;0.00086;0
23;0.9103;0.0405;0.8306;0.0124;1.155;0.0312;0.5143;0.0097;0.0174;430;0.00086;0
1;0.9242;0.0485;0.8292;0.0181;1.2499;0.0356;0.3644;0.0117;0.0175;475;0.00037;0
7;0.9242;0.0485;0.8292;0.0181;1.2499;0.0356;0.3644;0.0117;0.0175;475;0.00037;0
26;0.9242;0.0485;0.8292;0.0181;1.2499;0.0356;0.3644;0.0117;0.0175;475;0.00037;0
44;0.9358;0.0411;0.7975;0.0145;1.2258;0.0315;0.4965;0.0086;0.0175;481;0.0004;0
18;0.8172;0.0444;0.8365;0.0162;0.9859;0.0337;0.5024;0.0095;0.0175;460;0.00064;0
27;1.0384;0.0452;0.8622;0.0145;1.345;0.0348;0.6038;0.0098;0.0175;387;0.00093;0
30;1.0384;0.0452;0.8622;0.0145;1.345;0.0348;0.6038;0.0098;0.0175;387;0.00093;0
16;0.9259;0.0478;1.016;0.0161;1.0669;0.036;0.5979;0.0091;0.0175;426;0.00038;0
33;0.9259;0.0478;1.016;0.0161;1.0669;0.036;0.5979;0.0091;0.0175;426;0.00038;0
3;0.7231;0.0429;0.7722;0.0171;0.9144;0.0342;0.428;0.0123;0.0175;479;0.00087;0
22;0.7231;0.0429;0.7722;0.0171;0.9144;0.0342;0.428;0.0123;0.0175;479;0.00087;0
24;0.7231;0.0429;0.7722;0.0171;0.9144;0.0342;0.428;0.0123;0.0175;479;0.00087;0
20;0.7614;0.0412;0.6715;0.0153;0.9838;0.0302;0.3222;0.0103;0.0175;480;0.00073;0
14;0.9185;0.0452;0.7223;0.0149;1.0857;0.0348;0.4471;0.0099;0.0176;442;0.00058;0
25;0.9185;0.0452;0.7223;0.0149;1.0857;0.0348;0.4471;0.0099;0.0176;442;0.00058;0
0;0.7044;0.0396;0.7206;0.0126;0.8393;0.0294;0.356;0.0084;0.0177;402;0.0007;0
10;0.8612;0.0483;0.8552;0.0177;1.0737;0.0355;0.4018;0.0121;0.0177;494;0.00033;0
43;0.7483;0.0417;0.6876;0.0141;0.8417;0.0312;0.3129;0.0084;0.0177;376;0.00043;0
32;0.7104;0.0435;0.7279;0.0141;0.8397;0.0333;0.329;0.0082;0.0177;440;0.00046;0
35;0.7153;0.043;0.7067;0.0165;0.8792;0.0307;0.2765;0.0121;0.0178;480;0.00036;0
36;0.7153;0.043;0.7067;0.0165;0.8792;0.0307;0.2765;0.0121;0.0178;480;0.00036;0
38;0.7644;0.0461;0.7204;0.0173;1.0124;0.0347;0.3597;0.0109;0.0178;490;0.00088;0
21;0.8769;0.0437;0.8549;0.0138;1.0744;0.0316;0.5855;0.0085;0.0179;444;0.00063;0
34;0.8769;0.0437;0.8549;0.0138;1.0744;0.0316;0.5855;0.0085;0.0179;444;0.00063;0
49;0.8769;0.0437;0.8549;0.0138;1.0744;0.0316;0.5855;0.0085;0.0179;444;0.00063;0
5;0.7371;0.043;0.8222;0.0133;0.8278;0.0309;0.442;0.009;0.0179;491;0.00054;0
13;0.7576;0.0456;0.6962;0.0137;0.9297;0.0315;0.3231;0.0091;0.018;480;0.00049;0
15;0.8332;0.0421;0.7467;0.0154;0.963;0.0294;0.3286;0.0098;0.0182;496;0.00053;0
2;0.9005;0.0444;0.8051;0.017;1.0852;0.0331;0.4541;0.0119;0.0183;455;0.00062;0
0;0.870584952;0.04506032;0.868241887;0.015947194;0.993510706;0.035110927;0.39071026;0.012677487;0.016046026;616;0.00098;0
1;0.701538418;0.041092361;0.74073821;0.017891287;0.804553313;0.028714956;0.442632923;0.011893676;0.016260962;864;0.00097;0
2;0.760760447;0.041232914;0.846951053;0.016293629;0.860611685;0.028445169;0.313355929;0.009984295;0.016311996;759;0.00099;0
3;0.708306029;0.040923658;0.735915401;0.014283588;0.788702585;0.024292701;0.301490957;0.006836634;0.016481496;853;0.0006;0
4;0.713067196;0.038376746;0.735296976;0.014836426;0.781023593;0.025309941;0.407749309;0.009072029;0.016308739;822;0.00076;0
5;0.667604571;0.038794503;0.667616612;0.012033297;0.651711804;0.024273148;0.265003017;0.006534319;0.0161501;826;0.00059;0
6;0.691689897;0.040635717;0.726756747;0.013150047;0.768830393;0.026301346;0.289636145;0.007400038;0.016806211;741;0.00085;0
7;0.744121906;0.038953786;0.67102848;0.012973424;0.826811006;0.022080868;0.298415951;0.008722792;0.016478061;780;0.00044;0
8;0.674538932;0.039764518;0.70421262;0.012868853;0.685479343;0.022820248;0.35794866;0.00710688;0.016658591;902;0.00035;0
